user_id,signup_ts,home_state,acquisition_channel
100001,2025-08-24T11:22:40Z,CA,referral
100002,2025-06-22T04:57:54Z,WA,partner
100003,2025-09-06T06:05:18Z,MI,school_email
100004,2025-06-03T14:42:36Z,WI,school_email
100005,2025-08-10T15:50:02Z,AL,partner
100006,2025-08-18T12:55:49Z,NY,paid_social
100007,2025-09-10T04:16:10Z,MN,organic
100008,2026-01-09T19:13:31Z,CA,organic
100009,2025-05-29T06:34:33Z,AL,partner
100010,2026-01-17T18:18:33Z,WA,organic
100011,2026-01-23T22:30:00Z,VA,organic
100012,2026-01-04T11:08:43Z,IL,paid_social
100013,2026-02-13T01:08:45Z,FL,organic
100014,2025-06-05T08:18:36Z,VA,app_store
100015,2025-07-24T01:48:03Z,MN,paid_social
100016,2026-01-02T10:27:54Z,in,app_store
100017,2025-11-01T07:15:41Z,SC,school_email
100018,2025-05-31T06:45:57Z,GA,organic
100019,2025-12-11T07:06:14Z,NC,app_store
100020,2025-06-20T23:17:06Z,IL,school_email
100021,2025-06-10T23:17:45Z,IL,organic
100022,2025-06-06T08:53:32Z,MI,app_store
100023,2025-12-12T11:44:33Z,NY,organic
100024,2025-06-07T09:03:49Z,WI,referral
100025,2025-08-06T19:00:55Z,TN,school_email
100026,2025-08-22T20:51:28Z,FL,school_email
100027,2025-07-09T06:11:48Z,OH,school_email
100028,2025-09-20T11:04:44Z,KY,organic
100029,2025-12-01T07:10:25Z,IN,referral
100030,2025-08-15T22:48:23Z,WI,organic
100031,2025-11-11T18:25:49Z,NC,referral
100032,2026-02-27T01:31:32Z,GA,partner
100033,2025-10-05T15:45:11Z,GA,school_email
100034,2025-09-08T02:38:01Z,TX,paid_social
100035,2025-05-21T15:38:49Z,GA,paid_social
100036,2025-10-01T17:23:16Z,TN,school_email
100037,2025-10-16T01:24:00Z,OH,referral
100038,2025-09-18T19:59:11Z,GA,referral
100039,2026-02-12T16:45:42Z,TX,app_store
100040,2026-02-09T06:28:37Z,OH,referral
100041,2026-02-12T07:03:49Z,TN,app_store
100042,2025-10-05T11:55:05Z,IL,school_email
100043,2025-10-25T21:07:06Z,IL,organic
100044,2025-08-02T08:52:02Z,WA,referral
100045,2026-02-07T23:39:40Z,FL,paid_social
100046,2026-01-05T07:57:02Z,IN,paid_social
100047,2025-08-08T04:02:32Z,MI,app_store
100048,2025-06-07T05:40:41Z,VA,organic
100049,2025-11-18T19:14:26Z,Georgia,partner
100050,2025-10-01T17:09:03Z,GA,organic
100051,2025-08-01T22:55:07Z,TX,school_email
100052,2025-05-21T22:38:49Z,TX,referral
100053,2025-05-14T02:45:55Z,IN,paid_social
100054,2025-07-23T03:40:50Z,GA,organic
100055,2025-08-17T14:01:35Z,MI,school_email
100056,2025-06-28T11:02:48Z,WA,organic
100057,2026-01-05T01:22:50Z,NY,referral
100058,2026-01-02T15:58:44Z,MN,app_store
100059,2025-10-22T02:11:23Z,NC,paid_social
100060,2026-02-11T14:26:54Z,mo,school_email
100061,2025-06-12T07:11:26Z,MN,referral
100062,2025-11-05T01:57:22Z,CA,app_store
100063,2025-12-26T05:18:05Z,SC,paid_social
100064,2025-08-15T03:05:50Z,SC,app_store
100065,2025-08-19T15:03:47Z,CA,app_store
100066,2025-08-15T05:56:13Z,TN,referral
100067,2025-05-11T21:19:29Z,NY,partner
100068,2025-11-27T18:11:00Z,TX,paid_social
100069,2025-09-26T06:27:20Z,CA,partner
100070,2025-10-26T20:30:28Z,FL,partner
100071,2025-06-25T10:31:57Z,MI,paid_social
100072,2025-07-27T04:49:20Z,GA,partner
100073,2025-07-28T22:35:23Z,IN,school_email
100074,2025-07-27T13:42:10Z,MO,partner
100075,2025-12-19T12:08:34Z,GA,paid_social
100076,2025-06-20T10:36:43Z,WI,partner
100077,2025-10-28T06:02:59Z,NY,partner
100078,2025-05-15T05:34:07Z,NC,app_store
100079,2025-05-20T21:43:26Z,NY,organic
100080,2025-05-05T15:20:30Z,MO,referral
100081,2025-12-11T07:59:05Z,WA,app_store
100082,2025-08-01T11:46:16Z,TX,school_email
100083,2025-08-07T18:58:49Z,FL,school_email
100084,2025-09-05T23:47:42Z,va,paid_social
100085,2025-12-27T08:37:09Z,NC,organic
100086,2025-06-22T22:37:58Z,MN,partner
100087,2025-05-20T08:50:51Z,CA,school_email
100088,2025-05-09T03:53:21Z,PA,organic
100089,2025-05-05T15:05:20Z,TN,organic
100090,2025-08-25T16:30:35Z,IN,paid_social
100091,2025-11-24T21:36:02Z,IL,organic
100092,2025-08-06T16:30:50Z,TN,partner
100093,2026-01-23T16:15:26Z,SC,app_store
100094,2025-09-30T19:54:02Z,tn,referral
100095,2025-06-13T03:55:24Z,AL,school_email
100096,2025-10-24T09:49:10Z,KY,app_store
100097,2025-05-05T03:46:56Z,NC,partner
100098,2025-07-18T20:18:16Z,NC,app_store
100099,2025-08-12T04:11:21Z,KY,school_email
100100,2026-02-26T12:07:18Z,MN,paid_social
100101,2025-05-10T10:25:37Z,GA,paid_social
100102,2025-11-10T00:45:24Z,mi,partner
100103,2025-08-20T23:52:33Z,TX,partner
100104,2025-05-15T01:50:41Z,VA,school_email
100105,2025-10-05T10:27:50Z,CA,organic
100106,2025-12-14T23:28:32Z,TX,organic
100107,2025-11-16T09:35:33Z,PA,school_email
100108,2025-10-28T23:45:00Z,MO,app_store
100109,2025-07-19T01:15:25Z,MI,paid_social
100110,2025-09-07T16:15:22Z,IL,school_email
100111,2025-07-30T15:25:19Z,IL,school_email
100112,2026-02-23T23:53:35Z,TX,referral
100113,2025-06-07T14:13:05Z,MN,paid_social
100114,2025-09-06T19:57:07Z,GA,organic
100115,2025-06-25T13:57:31Z,FL,app_store
100116,2026-02-26T17:28:19Z,NC,referral
100117,2026-01-15T10:10:34Z,FL,organic
100118,2025-10-13T02:38:45Z,MO,school_email
100119,2026-01-03T01:01:52Z,SC,paid_social
100120,2025-07-16T04:40:52Z,MN,partner
100121,2025-10-23T08:05:48Z,GA,paid_social
100122,2025-10-14T02:58:11Z,TN,app_store
100123,2025-11-30T10:55:39Z,VA,referral
100124,2025-06-25T16:26:40Z,ga,school_email
100125,2026-02-27T05:57:41Z,OH,referral
100126,2025-08-29T12:44:29Z,GA,partner
100127,2025-10-30T07:41:35Z,TX,organic
100128,2025-07-15T07:54:48Z,ky,school_email
100129,2025-12-03T17:01:57Z,PA,school_email
100130,2025-05-09T17:53:49Z,va,school_email
100131,2025-09-25T06:05:24Z,PA,paid_social
100132,2025-10-08T07:48:19Z,SC,partner
100133,2025-06-08T09:48:49Z,WA,school_email
100134,2025-07-28T05:27:49Z,VA,referral
100135,2025-07-29T14:50:09Z,FL,partner
100136,2025-05-31T03:04:55Z,OH,referral
100137,2025-06-22T06:59:18Z,OH,organic
100138,2025-12-05T04:01:48Z,NC,paid_social
100139,2025-11-27T17:07:28Z,TN,app_store
100140,2025-08-29T15:20:03Z,WA,organic
100141,2025-11-07T13:52:06Z,MO,organic
100142,2025-08-21T10:58:06Z,CA,partner
100143,2025-09-03T07:53:07Z,mo,app_store
100144,2025-11-19T07:52:16Z,IN,paid_social
100145,2025-11-18T05:35:30Z,FL,school_email
100146,2025-11-05T20:58:15Z,PA,partner
100147,2025-06-16T16:35:32Z,GA,paid_social
100148,2026-02-26T05:34:23Z,OH,organic
100149,2026-02-08T04:24:20Z,MI,school_email
100150,2025-07-10T02:37:03Z,IN,paid_social
100151,2025-07-16T07:42:54Z,FL,school_email
100152,2025-11-04T11:42:29Z,PA,referral
100153,2025-11-19T20:17:39Z,TN,paid_social
100154,2026-02-04T08:53:21Z,NY,school_email
100155,2025-10-12T17:35:12Z,TX,school_email
100156,2025-05-09T19:51:40Z,PA,partner
100157,2025-05-18T10:13:33Z,VA,paid_social
100158,2025-10-03T20:40:59Z,AL,organic
100159,2026-02-20T14:02:29Z,CA,app_store
100160,2025-09-15T23:36:57Z,WA,paid_social
100161,2025-06-10T11:21:27Z,CA,organic
100162,2025-05-16T22:03:47Z,MI,organic
100163,2025-11-05T04:19:27Z,OH,partner
100164,2025-05-12T17:44:06Z,GA,partner
100165,2025-06-30T09:38:37Z,TX,referral
100166,2025-09-01T01:49:42Z,IL,partner
100167,2025-09-01T01:55:06Z,IN,organic
100168,2025-09-25T22:05:32Z,OH,app_store
100169,2025-09-19T21:39:07Z,PA,referral
100170,2025-10-01T13:15:51Z,IL,paid_social
100171,2025-12-02T21:41:40Z,OH,app_store
100172,2025-11-26T06:14:02Z,CA,app_store
100173,2025-09-15T18:05:05Z,MI,paid_social
100174,2025-06-08T06:48:17Z,ca,paid_social
100175,2025-10-29T16:28:05Z,NC,partner
100176,2025-10-01T21:22:38Z,IL,school_email
100177,2025-11-16T18:40:45Z,KY,app_store
100178,2025-12-20T18:08:43Z,PA,school_email
100179,2026-01-17T14:58:15Z,al,app_store
100180,2025-11-25T20:12:02Z,WI,app_store
100181,2025-06-09T09:12:21Z,IL,school_email
100182,2025-12-18T12:55:41Z,GA,organic
100183,2025-07-08T20:32:16Z,MI,paid_social
100184,2025-12-01T19:56:49Z,PA,app_store
100185,2025-06-23T22:16:46Z,WI,referral
100186,2025-10-01T19:22:15Z,FL,school_email
100187,2026-01-11T05:46:09Z,WA,paid_social
100188,2025-12-06T12:53:24Z,VA,organic
100189,2025-09-07T07:46:23Z,AL,paid_social
100190,2026-01-01T09:08:19Z,KY,app_store
100191,2026-02-05T23:43:33Z,TN,school_email
100192,2025-08-28T21:18:43Z,WI,referral
100193,2025-12-14T11:12:42Z,SC,school_email
100194,2025-11-03T04:02:37Z,TN,referral
100195,2025-08-21T17:05:25Z,WA,organic
100196,2025-07-01T08:35:43Z,pa,app_store
100197,2025-06-27T09:40:16Z,mn,school_email
100198,2025-11-20T00:19:36Z,KY,paid_social
100199,2025-09-19T07:44:36Z,PA,organic
100200,2025-11-23T07:34:13Z,IL,organic
100201,2025-06-27T11:42:52Z,TX,referral
100202,2025-07-31T11:52:26Z,NC,app_store
100203,2025-07-24T17:30:10Z,TN,referral
100204,2026-02-13T21:39:20Z,IN,organic
100205,2025-05-06T02:01:53Z,WI,partner
100206,2025-07-28T02:00:48Z,PA,app_store
100207,2025-09-17T07:43:49Z,KY,organic
100208,2025-07-04T07:04:02Z,TX,referral
100209,2025-11-24T08:47:07Z,IN,app_store
100210,2025-08-14T02:30:19Z,GA,organic
100211,2025-10-22T05:51:47Z,GA,school_email
100212,2025-05-07T12:36:44Z,PA,partner
100213,2025-12-18T19:05:32Z,SC,referral
100214,2026-02-07T11:28:45Z,OH,app_store
100215,2025-08-04T04:26:16Z,MI,organic
100216,2025-06-15T19:35:19Z,NY,referral
100217,2025-08-18T04:37:40Z,SC,paid_social
100218,2026-02-08T03:45:44Z,MI,app_store
100219,2025-08-15T00:51:05Z,SC,partner
100220,2025-12-01T21:24:16Z,FL,partner
